insert,random,1000000,247393940303,38927.65334224701
insert,asc,1000000,999999,0.12496805191040039
insert,desc,1000000,495049919720,81119.77108311653
merge,random,1000000,18618710,5.511951684951782
merge,asc,1000000,28503702,4.342455863952637
merge,desc,1000000,39373170,4.387809753417969
tim,random,1000000,23180028,5.492840528488159
tim,asc,1000000,31694998,3.3026700019836426
tim,desc,1000000,41125853,3.4275665283203125
insert,random,1000000,247516768656,38945.20171523094
insert,asc,1000000,999999,0.12560009956359863
insert,desc,1000000,495050031083,81433.2083363533
merge,random,1000000,18618845,5.440353155136108
merge,asc,1000000,28503837,4.192383527755737
merge,desc,1000000,39358560,4.31749963760376
tim,random,1000000,23180003,5.510699033737183
tim,asc,1000000,31694973,3.236402750015259
tim,desc,1000000,41077723,3.3622303009033203
